Time,Step,Training loss,Validation loss,Full Validation loss
22:39:42,1094,1.2051,-,-
22:39:41,1093,1.1141,-,-
22:39:38,1092,1.0214,-,-
22:39:38,1091,1.4186,-,-
22:39:37,1090,1.1987,-,-
22:39:37,1089,0.0008,-,-
22:39:33,1088,0.5483,-,-
22:39:33,1087,0.0125,-,-
22:39:33,1086,1.2655,-,-
22:39:33,1085,1.0140,-,-
22:39:33,1084,0.1324,-,-
22:39:33,1083,1.2832,-,-
22:39:32,1082,0.0243,-,-
22:39:27,1081,1.1018,-,-
22:39:26,1080,0.0043,-,-
22:39:25,1079,0.3123,-,-
22:39:21,1078,0.3129,-,-
22:39:21,1077,1.2251,-,-
22:39:21,1076,0.8071,-,-
22:39:21,1075,0.6164,-,-
22:39:21,1074,0.9010,-,-
22:39:21,1073,1.8074,-,-
22:39:18,1072,0.6441,-,-
22:39:18,1071,1.3237,-,-
22:39:16,1070,0.0009,-,-
22:39:12,1069,1.9096,-,-
22:39:12,1068,1.1098,-,-
22:39:12,1067,1.3248,-,-
22:39:12,1066,1.7033,-,-
22:39:09,1065,0.8885,-,-
22:39:09,1064,0.7953,-,-
22:39:09,1063,1.0965,-,-
22:39:08,1062,1.2742,-,-
22:39:04,1061,0.0038,-,-
22:39:03,1060,0.9486,-,-
22:39:03,1059,1.2871,-,-
22:39:03,1058,0.0215,-,-
22:39:00,1057,1.0929,-,-
22:39:00,1056,0.0025,-,-
22:39:00,1055,0.9366,-,-
22:39:00,1054,2.0640,-,-
22:39:00,1053,0.1363,-,-
22:39:00,1052,1.0238,-,-
22:38:59,1051,1.2237,-,-
22:38:52,1050,0.8252,-,-
22:38:52,1049,0.7790,-,-
22:38:51,1048,1.5287,-,-
22:38:48,1047,0.9858,-,-
22:38:48,1046,0.3772,-,-
22:38:48,1045,1.3864,-,-
22:38:48,1044,0.0141,-,-
22:38:48,1043,0.8965,-,-
22:38:44,1042,0.9580,-,-
22:38:44,1041,0.1009,-,-
22:38:43,1040,1.4281,-,-
22:38:42,1039,0.8131,-,-
22:38:39,1038,0.0209,-,-
22:38:39,1037,1.9883,-,-
22:38:39,1036,0.6384,-,-
22:38:39,1035,0.8533,-,-
22:38:35,1034,1.4009,-,-
22:38:35,1033,1.2518,-,-
22:38:35,1032,1.0622,-,-
22:38:34,1031,1.2863,-,-
22:38:30,1030,0.0026,-,-
22:38:30,1029,1.4612,-,-
22:38:30,1028,1.0457,-,-
22:38:30,1027,1.2021,-,-
22:38:30,1026,0.6640,-,-
22:38:26,1025,1.0332,-,-
22:38:26,1024,1.1572,-,-
22:38:26,1023,1.2964,-,-
22:38:26,1022,1.3157,-,-
22:38:26,1021,0.8137,-,-
22:38:24,1020,1.3083,-,-
22:38:19,1019,0.6584,-,-
22:38:19,1018,0.9140,-,-
22:38:18,1017,0.4759,-,-
22:38:14,1016,1.2706,-,-
22:38:14,1015,0.7628,-,-
22:38:14,1014,0.0769,-,-
22:38:14,1013,1.3077,-,-
22:38:14,1012,1.4920,-,-
22:38:11,1011,0.1733,-,-
22:38:10,1010,0.8036,-,-
22:38:09,1009,0.6958,-,-
22:38:05,1008,1.1743,-,-
22:38:05,1007,0.8558,-,-
22:38:05,1006,0.6417,-,-
22:38:05,1005,0.7809,-,-
22:38:05,1004,0.0128,-,-
22:38:02,1003,1.5116,-,-
22:38:02,1002,1.4148,-,-
22:38:02,1001,1.0032,-,-
22:38:00,1000,1.1238,0.1829,-
22:37:56,999,1.0187,-,-
22:37:56,998,0.9769,-,-
22:37:56,997,1.0873,-,-
22:37:56,996,0.0024,-,-
22:37:56,995,1.0351,-,-
22:37:53,994,1.4888,-,-
22:37:53,993,0.8645,-,-
22:37:53,992,1.4365,-,-
22:37:53,991,1.4242,-,-
22:37:51,990,1.5703,-,-
22:37:45,989,1.5127,-,-
22:37:45,988,1.1719,-,-
22:37:45,987,1.4978,-,-
22:37:44,986,1.3471,-,-
22:37:41,985,1.3341,-,-
22:37:41,984,0.0001,-,-
22:37:41,983,1.2446,-,-
22:37:41,982,0.0001,-,-
22:37:41,981,1.0403,-,-
22:37:36,980,1.3004,-,-
22:37:36,979,0.0977,-,-
22:37:35,978,1.3760,-,-
22:37:32,977,1.1397,-,-
